annee,pays,icf,flag,paysFlag,paysFlagEn
2008,Japon,1.352,🇯🇵,Japon 🇯🇵,Japan 🇯🇵
2009,Japon,1.351,🇯🇵,Japon 🇯🇵,Japan 🇯🇵
2010,Japon,1.38,🇯🇵,Japon 🇯🇵,Japan 🇯🇵
2011,Japon,1.384,🇯🇵,Japon 🇯🇵,Japan 🇯🇵
2012,Japon,1.393,🇯🇵,Japon 🇯🇵,Japan 🇯🇵
2013,Japon,1.413,🇯🇵,Japon 🇯🇵,Japan 🇯🇵
2014,Japon,1.407,🇯🇵,Japon 🇯🇵,Japan 🇯🇵
2015,Japon,1.441,🇯🇵,Japon 🇯🇵,Japan 🇯🇵
2016,Japon,1.43,🇯🇵,Japon 🇯🇵,Japan 🇯🇵
2017,Japon,1.413,🇯🇵,Japon 🇯🇵,Japan 🇯🇵
2018,Japon,1.399,🇯🇵,Japon 🇯🇵,Japan 🇯🇵
2019,Japon,1.342,🇯🇵,Japon 🇯🇵,Japan 🇯🇵
2020,Japon,1.325,🇯🇵,Japon 🇯🇵,Japan 🇯🇵
2021,Japon,1.298,🇯🇵,Japon 🇯🇵,Japan 🇯🇵
2022,Japon,1.252,🇯🇵,Japon 🇯🇵,Japan 🇯🇵
2023,Japon,1.196,🇯🇵,Japon 🇯🇵,Japan 🇯🇵
2000,France,1.8926,🇫🇷,France 🇫🇷,France 🇫🇷
2001,France,1.8948,🇫🇷,France 🇫🇷,France 🇫🇷
2002,France,1.8805,🇫🇷,France 🇫🇷,France 🇫🇷
2003,France,1.891,🇫🇷,France 🇫🇷,France 🇫🇷
2004,France,1.9148,🇫🇷,France 🇫🇷,France 🇫🇷
2005,France,1.9383,🇫🇷,France 🇫🇷,France 🇫🇷
2006,France,1.9974,🇫🇷,France 🇫🇷,France 🇫🇷
2007,France,1.9774,🇫🇷,France 🇫🇷,France 🇫🇷
2008,France,2.0069,🇫🇷,France 🇫🇷,France 🇫🇷
2009,France,2.0037,🇫🇷,France 🇫🇷,France 🇫🇷
2010,France,2.029,🇫🇷,France 🇫🇷,France 🇫🇷
2011,France,2.0097,🇫🇷,France 🇫🇷,France 🇫🇷
2012,France,2.0081,🇫🇷,France 🇫🇷,France 🇫🇷
2013,France,1.988,🇫🇷,France 🇫🇷,France 🇫🇷
2014,France,1.9988,🇫🇷,France 🇫🇷,France 🇫🇷
2015,France,1.9554,🇫🇷,France 🇫🇷,France 🇫🇷
2016,France,1.9238,🇫🇷,France 🇫🇷,France 🇫🇷
2017,France,1.8929,🇫🇷,France 🇫🇷,France 🇫🇷
2018,France,1.8701,🇫🇷,France 🇫🇷,France 🇫🇷
2019,France,1.863,🇫🇷,France 🇫🇷,France 🇫🇷
2020,France,1.8167,🇫🇷,France 🇫🇷,France 🇫🇷
2021,France,1.8308,🇫🇷,France 🇫🇷,France 🇫🇷
2022,France,1.7935,🇫🇷,France 🇫🇷,France 🇫🇷
2023,France,1.6764,🇫🇷,France 🇫🇷,France 🇫🇷
